outcome,prev_s42,prev_s43,prev_s44,prev_s45,consensus,mean_agreement,mean_kappa,n
WT involvement,71.05263157894737,73.68421052631578,73.68421052631578,74.56140350877193,73.68421052631578,96.49122807017544,0.9120692811352669,114
WT crossing,43.859649122807014,42.98245614035088,44.73684210526316,43.859649122807014,44.73684210526316,95.32163742690058,0.9050256357427883,114
TC involvement,66.66666666666666,66.66666666666666,66.66666666666666,68.42105263157895,67.54385964912281,95.90643274853802,0.9075438596491227,114
TC crossing,42.98245614035088,41.228070175438596,42.10526315789473,41.228070175438596,42.98245614035088,95.02923976608186,0.8981807848359437,114
ET involvement,36.84210526315789,34.21052631578947,35.08771929824561,35.96491228070175,35.96491228070175,97.66081871345028,0.9491675707378086,114
ET crossing,14.912280701754385,14.912280701754385,15.789473684210526,15.789473684210526,15.789473684210526,98.83040935672514,0.954457210911685,114
