label,n1,n0,e1,e0,med1,med0,logrank_p,hr,lo,hi,p,ahr,ap
CC involvement (WT),40,9,34,8,575.0,467.0,0.22407755977017788,0.6154039495374299,0.2786947191958966,1.3589135172671176,0.2296876368779624,0.9002757120721001,0.8416063926916206
CC involvement (TC),37,12,31,11,534.0,496.0,0.5034469694631527,0.7885492755610307,0.3915974495870833,1.5878805151654811,0.5059261728285984,0.9801111597355439,0.9594167986720552
Midline crossing (WT),29,20,23,19,521.0,575.0,0.9663070689988605,0.987646986921183,0.5314462228279122,1.8354567760101497,0.9686420473962408,1.1235011739349567,0.7241957518288549
Midline crossing (TC),28,21,22,20,521.0,575.0,0.6367115210848453,1.166301176231632,0.6178346723682008,2.2016544142227055,0.6351077327647213,1.3226219513459745,0.40526618903693457
Genu involvement (WT),8,41,6,36,844.0,527.0,0.2092648487815173,0.5749959342095082,0.2399652985307544,1.3777838978459305,0.21453896188663654,0.6200355424192385,0.28986131919208413
Body involvement (WT),38,11,32,10,534.0,496.0,0.2800314728482196,0.6691242099870236,0.320569568006709,1.3966616081954113,0.2845557433420074,0.913290464797888,0.8417026341475691
Splenium involvement (WT),34,15,28,14,575.0,496.0,0.503461664783347,0.8018212196763121,0.4179331829919753,1.5383254895449483,0.5064369799445136,1.0054951438157653,0.9883373830422817
