label,n1,n0,e1,e0,med1,med0,logrank_p,hr,lo,hi,p,ahr,ap
CC involvement (WT),40,9,40,9,315.0,169.0,0.02965470870832712,0.42884975384196833,0.1952292460505585,0.942031560797449,0.034970809782899126,0.703559860027876,0.4500922896423868
CC involvement (TC),37,12,37,12,315.0,169.0,0.38378542581660735,0.7450009555338734,0.38242179069083265,1.451346228842627,0.386940765268292,0.9495929038079342,0.8864307786486708
Midline crossing (WT),29,20,29,20,303.0,241.0,0.5141139495335861,1.2179735319933862,0.6729434060740738,2.204434297515285,0.5147687007514594,1.5110115603900685,0.1909201655639123
Midline crossing (TC),28,21,28,21,192.0,241.0,0.20849418443214224,1.4714259567962058,0.8031436073905249,2.6957748606979357,0.21118878806132915,1.789792629974223,0.06755123896365689
Genu involvement (WT),8,41,8,41,519.0,192.0,0.3835588508984509,0.713759495225298,0.3326920692686292,1.5313037612956124,0.38657979394831166,0.7374546883958533,0.43998627893368947
Body involvement (WT),38,11,38,11,303.0,216.0,0.13396661793361495,0.5856677316664777,0.2879137764428762,1.1913521337990294,0.13975844172023838,0.8635362702747257,0.7128858041207642
Splenium involvement (WT),34,15,34,15,303.0,216.0,0.39762878710017924,0.7644438170630667,0.41107845128672704,1.4215640533255551,0.39608751446040846,1.080369740381749,0.8272595570398693
