compartment,scope,median,q1,q3,minimum,n
WT,whole brain,0.9007184667217303,0.8014170798470605,0.9534100422421935,0.0,342
WT,within CC mask,0.9080828031669754,0.7635870606722625,0.9648927934703433,0.0,254
TC,whole brain,0.8982240967527865,0.7945903193195422,0.9505563652546307,0.0,342
TC,within CC mask,0.9080828031669754,0.7849745641397426,0.9667123509962919,0.0,236
ET,whole brain,0.681919767407712,0.3900419473776497,0.8186126989121985,0.0,240
ET,within CC mask,0.6296759664706618,0.33871653897927434,0.8159115648798634,0.0,127
